0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
000E,0018,0093,0042,0011,0000,0000,0000,0000,0000,0000,0046,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,000D,00CF,000D,000D,008D,008E,000D,000C,000D,000D,000D,000D,000D,000D,001F,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,001F,0020,0000,0000
0013,001A,001B,0043,006F,0000,0000,0000,0000,0000,0000,0046,000D,000D,008D,008E,000D,000D,000C,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,001F,000D,000D,000D,000D,000D,000D,000D,000D,000D,00DC,0000,0046,00CE,000D,000D,000D,000C,0020,0000,0000
0010,0073,0014,0021,0019,0000,0000,0000,0000,0000,0000,0046,000C,000D,008D,008E,000C,000D,000D,0251,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,00DC,00DC,00DC,000D,000D,000D,000D,000D,000D,000D,00DC,0000,0046,000D,00CF,000D,000D,000D,0022,0000,0000
0080,0097,001B,0017,0044,006C,0046,0046,0046,0046,0046,0046,000D,001F,008D,008E,000D,001F,000D,008D,008E,000C,000D,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,000D,000D,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,000D,0020,0000,0000
000E,027F,0093,0042,0011,0045,0069,000D,000D,000D,000D,000D,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,001F,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,0046,000D,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,000D,0020,0000,0000
0013,001A,000B,0043,006F,009F,01C2,00DC,00DC,000D,000C,000D,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,0046,000D,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,000D,0020,0000,0000
0010,0073,0014,000B,0122,0000,0000,0000,0000,0000,00DC,001F,000D,00CE,008D,008E,000D,000D,000C,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,0046,000D,000D,000D,000C,000D,00DC,0000,0046,000D,000C,000D,000D,002D,0020,0000,0000
0080,0097,001B,0017,00EA,0000,0000,0000,0000,0000,0000,0046,000D,000D,0259,008E,00CE,000D,000D,0251,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,0046,000D,000D,000D,000D,001F,00DC,0000,0046,000C,000D,001F,000D,000D,002D,0023,0024
000E,0018,0093,0042,0011,0000,0000,0000,0000,0000,0000,0046,000D,000D,008D,008E,000D,00CF,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,0046,000C,000D,000D,000D,000D,00DC,0000,0046,000D,001F,000D,000D,000D,000D,002D,0025
0013,001A,001B,0043,006F,0000,0000,0000,0000,0000,0000,0046,000D,000C,008D,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000C,008D,008E,000D,000D,00DC,0000,0000,0000,0046,000D,001F,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,000D,0020,0026,0026
0010,0073,0014,0021,0019,003F,0046,0046,0046,0046,0046,0046,000D,000D,0251,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,0251,008E,000D,000D,000D,0046,0046,0046,0046,000D,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,000C,0020,0000,0000
0080,0097,001B,0017,0044,006C,0090,000D,000D,000D,000D,000D,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,000D,000C,000D,000D,000D,000D,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,000D,0022,0000,0000
000E,0018,0093,0042,0011,0045,0069,000D,000D,000D,000C,000D,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,000C,000D,000D,000D,008D,008E,000D,000D,000D,000D,001F,000D,000D,000D,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,00CE,0020,0000,0000
0013,001A,001B,0043,006F,0090,01B7,000D,000D,000D,000D,001F,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,000D,001F,000D,000D,008D,008E,000D,000D,000D,000D,000D,000D,000D,000D,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,000D,00FF,0000,0000
0027,0073,0014,0021,0019,003F,006C,000D,000D,000D,000D,000D,000D,000D,008D,008E,000C,000D,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,00DC,00DC,00DC,000D,000D,000D,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000D,000D,0020,0000,0000
0000,0028,001B,0017,0044,006C,0090,000C,000D,000D,000D,000D,000D,000D,008D,008E,000D,001F,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,000D,000C,000D,000D,000D,000D,00DC,0000,0046,000D,000C,000D,000D,000D,0020,0000,0000
0000,0000,0029,0042,0011,0045,0069,000D,001F,000D,000D,000D,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,00CE,000D,00DC,0000,0000,0000,0046,000D,001F,000D,000D,000D,00DC,0000,0046,000D,000D,001F,000D,000D,0020,0000,0000
0000,0000,0000,0028,006F,0090,01B7,000D,00CE,000D,000D,000D,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000C,008D,008E,000D,00CF,00DC,0000,0000,0000,0046,000D,000D,000D,000D,000D,000D,0046,0046,000D,000D,000D,000D,000D,0020,0000,0000
0000,0000,0000,0000,0029,003F,006C,000D,000D,00CF,000D,000D,000D,000C,008D,008E,000D,00CE,000D,008D,008E,000C,000D,000D,000D,000D,0251,008E,000D,000D,00DC,0000,0000,0000,0046,000D,000D,000D,000D,000D,000D,000D,000D,000D,000D,000D,000D,000D,0020,0000,0000
0000,0000,0000,0000,0000,0028,0090,000D,000D,000D,000D,000D,000D,000D,0251,008E,000D,000D,00CF,008D,008E,000D,001F,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,0046,000D,000D,000D,000D,00CE,000D,000D,000C,000D,000D,000D,000D,000D,0020,0000,0000
0000,0000,0000,0000,0000,0000,0047,002B,002B,002B,002B,002B,002B,002B,00D3,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000C,000D,00DC,0000,0000,0000,0046,000D,000C,000D,000D,000D,00CF,000D,000D,001F,00CE,000D,000D,000C,0020,0000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,002A,002B,002B,002B,01CC,008E,000D,000D,000D,002B,002B,002B,008E,000D,001F,000D,0000,0000,0000,0046,000D,000D,001F,000D,000D,000D,000D,000D,000D,000D,00CF,000D,000D,0022,0000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0047,002B,002B,002B,002B,0000,0000,0000,002B,002B,002B,002B,0000,0000,0000,002B,002B,002B,002B,002B,002B,002B,002B,002B,002B,002B,002B,002B,002B,0000,0000
